key,managerId,yearsOfExperience,dateOfBirth,imageLink,key:airline,key:userAccount
# base entity
manager-01,AM123456,0,2000/01/01 00:00,http://lorem.com/ipsum,airline-01,user-account-manager-01
# managerId - standard variations
manager-02,LF123456,0,2000/01/01 00:00,http://lorem.com/ipsum,airline-01,user-account-manager-02
manager-03,COX123456,0,2000/01/01 00:00,http://lorem.com/ipsum,airline-01,user-account-manager-02
# managerId - no singular values
# yearsOfExperience - standard variations
manager-04,AM123456,1,2000/01/01 00:00,http://lorem.com/ipsum,airline-01,user-account-manager-01
manager-05,AM111111,23,2000/01/01 00:00,http://lorem.com/ipsum,airline-01,user-account-manager-01
manager-06,AM222222,70,2000/01/01 00:00,http://lorem.com/ipsum,airline-01,user-account-manager-01
# yearsOfExperience - no singular values
# dateOfBirth - standard variations
manager-07,AM333333,0,2000/01/01 00:01,http://lorem.com/ipsum,airline-01,user-account-manager-01
manager-08,AM444444,0,2002/02/10 02:41,http://lorem.com/ipsum,airline-01,user-account-manager-01
manager-09,AM555555,0,2024/12/31 23:59,http://lorem.com/ipsum,airline-01,user-account-manager-01
# dateOfBirth - no singular values
# imageLink - standard variations
manager-10,AM666666,0,2000/01/01 00:00,,airline-01,user-account-manager-01
manager-11,AM777777,0,2000/01/01 00:00,"ftp://a",airline-01,user-account-manager-01
manager-12,AM888888,0,2000/01/01 00:00,"ftp://a.b",airline-01,user-account-manager-01
manager-13,AM999999,0,2000/01/01 00:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",airline-01,user-account-manager-01
manager-14,AM000000,0,2000/01/01 00:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",airline-01,user-account-manager-01
manager-15,AA123456,0,2000/01/01 00:00,"http://example.org?",airline-01,user-account-manager-01
manager-16,AB123456,0,2000/01/01 00:00,"http://example.org?a&b",airline-01,user-account-manager-01
manager-17,AC123456,0,2000/01/01 00:00,"http://example.org/a",airline-01,user-account-manager-01
manager-18,AD123456,0,2000/01/01 00:00,"http://example.org/a/b?",airline-01,user-account-manager-01
# imageLink - no singular values
